Order ID,Waiter's Name
213,Gary Lineker
214,Peter Schmeichel
215,Alan Shearer
216,Franz Beckenbauer
217,Michel Platini
218,Jürgen Klinsmann
219,Dennis Bergkamp
220,Marco van
221,Gary Lineker
222,Gianluigi Buffon
223,Karl-Heinz Rummenigge
224,Lionel Messi
225,Paolo Maldini
226,Jürgen Klinsmann
227,Cristiano Ronaldo
228,Edgar Davids
229,Gary Lineker
230,Roberto Baggio
231,Kaká 
232,Kaká 
233,Gary Lineker
234,Alan Shearer
235,Kaká 
236,Alan Shearer
237,Gary Lineker
238,Pelé 
239,Gianluigi Buffon
240,Luís Figo
241,Marco van
242,Kaká 
243,Gary Lineker
244,Bobby Charlton
245,Edgar Davids
246,Cristiano Ronaldo
247,Gianluigi Buffon
248,Alan Shearer
249,Jürgen Klinsmann
250,Alan Shearer
251,Roberto Baggio
252,Hristo Stoichkov
253,Marco van
254,Gianluigi Buffon
255,Roberto Baggio
256,Javier Zanetti
257,Karl-Heinz Rummenigge
258,Javier Zanetti
259,Alan Shearer
260,Hristo Stoichkov
261,Roberto Carlos
262,Javier Zanetti
263,Dennis Bergkamp
264,Ronaldo Nazario
265,Jürgen Klinsmann
266,Zinedine Zidane
267,Gabriel Batistuta
268,Gary Lineker
269,Cristiano Ronaldo
270,Hristo Stoichkov
271,Ronaldinho Gaúcho
272,Ronaldo Nazario
273,Gary Lineker
274,Edgar Davids
275,Roberto Carlos
276,Hristo Stoichkov
277,Lionel Messi
278,Alan Shearer
279,Hristo Stoichkov
280,Hristo Stoichkov
281,Peter Schmeichel
282,Zinedine Zidane
283,Luís Figo
284,Dennis Bergkamp
285,Michel Platini
286,Roberto Carlos
287,Marco van
288,Gianluigi Buffon
289,Ronaldo Nazario
290,Diego Maradona
291,Diego Maradona
292,Cristiano Ronaldo
293,Roberto Baggio
294,Gianluigi Buffon
295,Dennis Bergkamp
296,Roberto Carlos
297,Jürgen Klinsmann
298,Ronaldinho Gaúcho
299,Marco van
300,Edgar Davids
301,Alan Shearer
302,Gianluigi Buffon
303,Michel Platini
304,Diego Maradona
305,Marco van
306,Michel Platini
307,Dennis Bergkamp
308,Michel Platini
309,Gary Lineker
310,Zinedine Zidane
311,Cristiano Ronaldo
312,Kaká 
313,Peter Schmeichel
314,Zinedine Zidane
315,Peter Schmeichel
316,Alan Shearer
317,George Weah
318,Hristo Stoichkov
319,Michel Platini
320,Diego Maradona
321,Diego Maradona
322,Zinedine Zidane
323,Diego Maradona
324,George Weah
325,Edgar Davids
326,Cristiano Ronaldo
327,Gianluigi Buffon
328,Gary Lineker
329,Roberto Carlos
330,Gabriel Batistuta
331,Luís Figo
332,Marco van
333,Michel Platini
334,Peter Schmeichel
335,Edgar Davids
336,Dennis Bergkamp
337,Franz Beckenbauer
338,Zinedine Zidane
339,Marco van
340,Diego Maradona
341,Edgar Davids
342,Michel Platini
343,Franz Beckenbauer
344,Franz Beckenbauer
345,Karl-Heinz Rummenigge
346,Paolo Maldini
347,Franz Beckenbauer
348,Bobby Charlton
349,Edgar Davids
350,Kaká 
351,Gary Lineker
352,Kaká 
353,Dennis Bergkamp
354,Edgar Davids
355,Lionel Messi
356,Diego Maradona
357,Karl-Heinz Rummenigge
358,Karl-Heinz Rummenigge
359,Franz Beckenbauer
360,Karl-Heinz Rummenigge
361,Edgar Davids
362,Gianluigi Buffon
363,Lionel Messi
364,Dennis Bergkamp
365,Gary Lineker
366,Dennis Bergkamp
367,George Weah
368,Gabriel Batistuta
369,Michel Platini
370,Peter Schmeichel
371,Zinedine Zidane
372,Cristiano Ronaldo
373,Roberto Baggio
374,Roberto Carlos
375,Marco van
376,Lionel Messi
377,Alan Shearer
378,Roberto Carlos
379,Javier Zanetti
380,Alan Shearer
381,Alan Shearer
382,Alan Shearer
383,Karl-Heinz Rummenigge
384,Jürgen Klinsmann
385,Alan Shearer
386,Gianluigi Buffon
387,Diego Maradona
388,Zinedine Zidane
389,Michel Platini
390,Kaká 
391,Karl-Heinz Rummenigge
392,Alan Shearer
393,Franz Beckenbauer
394,Alan Shearer
395,Franz Beckenbauer
396,Zinedine Zidane
397,Javier Zanetti
398,Roberto Carlos
399,Bobby Charlton
400,Zinedine Zidane
401,Edgar Davids
402,Ronaldo Nazario
403,Gary Lineker
404,Edgar Davids
405,Alan Shearer
406,Gary Lineker
407,Lionel Messi
408,Dennis Bergkamp
409,Ronaldinho Gaúcho
410,Edgar Davids
411,Paolo Maldini
412,Ronaldinho Gaúcho
413,Ronaldo Nazario
414,Roberto Baggio
415,Diego Maradona
416,Roberto Carlos
417,Cristiano Ronaldo
418,George Weah
419,Jürgen Klinsmann
420,Zinedine Zidane
421,Lionel Messi
422,George Weah
423,Bobby Charlton
424,Dennis Bergkamp
425,Roberto Carlos
426,Pelé 
427,Gary Lineker
428,George Weah
429,Gianluigi Buffon
430,Roberto Baggio
431,Javier Zanetti
432,Gary Lineker
433,Marco van
434,Alan Shearer
435,Franz Beckenbauer
436,Roberto Baggio
437,Alan Shearer
438,Alan Shearer
439,Luís Figo
440,Alan Shearer
441,Gary Lineker
442,Ronaldo Nazario
443,Ronaldo Nazario
444,Michel Platini
445,Hristo Stoichkov
446,Cristiano Ronaldo
447,Hristo Stoichkov
448,Javier Zanetti
449,Diego Maradona
450,Lionel Messi
451,Roberto Baggio
452,Gabriel Batistuta
453,Michel Platini
454,Gianluigi Buffon
455,Zinedine Zidane
456,Cristiano Ronaldo
457,Cristiano Ronaldo
458,George Weah
459,Franz Beckenbauer
460,Peter Schmeichel
461,Dennis Bergkamp
462,Roberto Baggio
463,Karl-Heinz Rummenigge
464,Diego Maradona
465,Javier Zanetti
466,Diego Maradona
467,Jürgen Klinsmann
468,Lionel Messi
469,Dennis Bergkamp
470,Karl-Heinz Rummenigge
471,Luís Figo
472,Gabriel Batistuta
473,Lionel Messi
474,Dennis Bergkamp
475,Ronaldo Nazario
476,Kaká 
477,Dennis Bergkamp
478,Bobby Charlton
479,Gianluigi Buffon
480,Paolo Maldini
481,Karl-Heinz Rummenigge
482,Roberto Carlos
483,Edgar Davids
484,Edgar Davids
485,Michel Platini
486,Roberto Carlos
487,Cristiano Ronaldo
488,Roberto Carlos
489,Gabriel Batistuta
490,Jürgen Klinsmann
491,Pelé 
492,Hristo Stoichkov
493,Zinedine Zidane
494,Pelé 
495,Peter Schmeichel
496,Javier Zanetti
497,Cristiano Ronaldo
498,George Weah
499,Paolo Maldini
500,Bobby Charlton
501,Luís Figo
502,Javier Zanetti
503,Franz Beckenbauer
504,Cristiano Ronaldo
505,Gabriel Batistuta
506,Jürgen Klinsmann
507,Marco van
508,Ronaldo Nazario
509,Alan Shearer
510,Edgar Davids
511,Luís Figo
512,Luís Figo
513,Javier Zanetti
514,Paolo Maldini
515,Zinedine Zidane
516,Cristiano Ronaldo
517,Gabriel Batistuta
518,Peter Schmeichel
519,Kaká 
520,Gianluigi Buffon
521,Peter Schmeichel
522,Alan Shearer
523,Bobby Charlton
524,Diego Maradona
525,Gianluigi Buffon
526,Zinedine Zidane
527,Luís Figo
528,Diego Maradona
529,Paolo Maldini
530,Roberto Baggio
531,Paolo Maldini
532,Gianluigi Buffon
533,Franz Beckenbauer
534,Franz Beckenbauer
535,Bobby Charlton
536,Ronaldinho Gaúcho
537,Javier Zanetti
538,Paolo Maldini
539,Gary Lineker
540,Roberto Baggio
541,Pelé 
542,Alan Shearer
543,Edgar Davids
544,Kaká 
545,Hristo Stoichkov
546,Ronaldo Nazario
547,Jürgen Klinsmann
548,Zinedine Zidane
549,Karl-Heinz Rummenigge
550,George Weah
551,Pelé 
552,Bobby Charlton
553,Dennis Bergkamp
554,Luís Figo
555,Bobby Charlton
556,Edgar Davids
557,Marco van
558,Ronaldo Nazario
559,Pelé 
560,Michel Platini
561,George Weah
562,Kaká 
563,Franz Beckenbauer
564,Edgar Davids
565,George Weah
566,George Weah
567,Karl-Heinz Rummenigge
568,Gianluigi Buffon
569,Michel Platini
570,Franz Beckenbauer
571,Javier Zanetti
572,Zinedine Zidane
573,Paolo Maldini
574,Hristo Stoichkov
575,Peter Schmeichel
576,Ronaldinho Gaúcho
577,Zinedine Zidane
578,Michel Platini
579,Diego Maradona
580,Javier Zanetti
581,Diego Maradona
582,Javier Zanetti
583,Gianluigi Buffon
584,Ronaldo Nazario
585,Pelé 
586,Jürgen Klinsmann
587,Peter Schmeichel
588,Kaká 
589,Roberto Baggio
590,George Weah
591,Karl-Heinz Rummenigge
592,Diego Maradona
593,Ronaldo Nazario
594,Paolo Maldini
595,Franz Beckenbauer
596,Gianluigi Buffon
597,Gianluigi Buffon
598,Javier Zanetti
599,Franz Beckenbauer
600,Gianluigi Buffon
601,Paolo Maldini
602,Michel Platini
603,Roberto Baggio
604,Diego Maradona
605,Gabriel Batistuta
606,Franz Beckenbauer
607,Gabriel Batistuta
608,Bobby Charlton
609,Gianluigi Buffon
610,Gianluigi Buffon
611,George Weah
612,George Weah
613,Hristo Stoichkov
614,Diego Maradona
615,Karl-Heinz Rummenigge
616,Peter Schmeichel
617,Gary Lineker
618,Ronaldo Nazario
619,Ronaldo Nazario
620,Zinedine Zidane
621,Peter Schmeichel
622,Gary Lineker
623,Michel Platini
624,Dennis Bergkamp
625,Bobby Charlton
626,Alan Shearer
627,Jürgen Klinsmann
628,Kaká 
629,Jürgen Klinsmann
630,Kaká 
631,Diego Maradona
632,Bobby Charlton
633,Paolo Maldini
634,Pelé 
635,Roberto Baggio
636,Hristo Stoichkov
637,Diego Maradona
638,Marco van
639,Kaká 
640,Michel Platini
641,Diego Maradona
642,Peter Schmeichel
643,Michel Platini
644,Bobby Charlton
645,Ronaldinho Gaúcho
646,Dennis Bergkamp
647,Ronaldinho Gaúcho
648,Pelé 
649,Karl-Heinz Rummenigge
650,Bobby Charlton
651,Javier Zanetti
652,Cristiano Ronaldo
653,Michel Platini
654,Franz Beckenbauer
655,Franz Beckenbauer
656,Diego Maradona
657,Dennis Bergkamp
658,Jürgen Klinsmann
659,Edgar Davids
660,Jürgen Klinsmann
661,Dennis Bergkamp
662,Ronaldinho Gaúcho
663,Franz Beckenbauer
664,Pelé 
665,Ronaldo Nazario
666,Diego Maradona
667,Michel Platini
668,George Weah
669,Pelé 
670,Edgar Davids
671,Hristo Stoichkov
672,Pelé 
673,Pelé 
674,Zinedine Zidane
675,Ronaldinho Gaúcho
676,Gianluigi Buffon
677,Javier Zanetti
678,Marco van
679,Pelé 
680,Gabriel Batistuta
681,Marco van
682,Pelé 
683,Diego Maradona
684,Bobby Charlton
685,Javier Zanetti
686,Edgar Davids
687,Dennis Bergkamp
688,Luís Figo
689,Roberto Baggio
690,Michel Platini
691,Jürgen Klinsmann
692,Dennis Bergkamp
693,Dennis Bergkamp
694,Roberto Carlos
695,Franz Beckenbauer
696,George Weah
697,Diego Maradona
698,Franz Beckenbauer
699,Zinedine Zidane
700,Lionel Messi
701,Diego Maradona
702,Zinedine Zidane
703,Gabriel Batistuta
704,Peter Schmeichel
705,Cristiano Ronaldo
706,Diego Maradona
707,Javier Zanetti
708,Alan Shearer
709,Javier Zanetti
710,Gianluigi Buffon
711,Hristo Stoichkov
712,Michel Platini
713,Alan Shearer
714,Jürgen Klinsmann
715,Zinedine Zidane
716,Ronaldo Nazario
717,Jürgen Klinsmann
718,Luís Figo
719,Jürgen Klinsmann
720,Zinedine Zidane
721,Ronaldinho Gaúcho
722,Peter Schmeichel
723,Franz Beckenbauer
724,Paolo Maldini
725,Roberto Carlos
726,Roberto Baggio
727,Lionel Messi
728,Roberto Baggio
729,Dennis Bergkamp
730,Dennis Bergkamp
731,George Weah
732,Karl-Heinz Rummenigge
733,Luís Figo
734,Jürgen Klinsmann
735,Peter Schmeichel
736,Edgar Davids
737,George Weah
738,Gary Lineker
739,Jürgen Klinsmann
740,Javier Zanetti
741,Gary Lineker
742,Hristo Stoichkov
743,Alan Shearer
744,Lionel Messi
745,Pelé 
746,Roberto Baggio
747,Pelé 
748,Ronaldo Nazario
749,Bobby Charlton
750,Zinedine Zidane
751,Javier Zanetti
752,Jürgen Klinsmann
753,Lionel Messi
754,Diego Maradona
755,George Weah
756,Franz Beckenbauer
757,Roberto Baggio
758,Marco van
759,Gabriel Batistuta
760,Ronaldinho Gaúcho
761,Zinedine Zidane
762,Gabriel Batistuta
763,Pelé 
764,Karl-Heinz Rummenigge
765,Hristo Stoichkov
766,Michel Platini
767,Luís Figo
768,Gary Lineker
769,Michel Platini
770,Javier Zanetti
771,Gianluigi Buffon
772,Michel Platini
773,Paolo Maldini
774,Ronaldinho Gaúcho
775,Ronaldo Nazario
776,Gary Lineker
777,Cristiano Ronaldo
778,Paolo Maldini
779,Hristo Stoichkov
780,Paolo Maldini
781,Gabriel Batistuta
782,Zinedine Zidane
783,Karl-Heinz Rummenigge
784,Cristiano Ronaldo
785,Hristo Stoichkov
786,Alan Shearer
787,Hristo Stoichkov
788,Kaká 
789,Luís Figo
790,Gianluigi Buffon
791,Franz Beckenbauer
792,Hristo Stoichkov
793,Marco van
794,Zinedine Zidane
795,Dennis Bergkamp
796,Gary Lineker
797,Gabriel Batistuta
798,Kaká 
799,Ronaldo Nazario
800,Roberto Baggio
801,Hristo Stoichkov
802,Cristiano Ronaldo
803,Edgar Davids
804,Gianluigi Buffon
805,Gary Lineker
806,Gary Lineker
807,Karl-Heinz Rummenigge
808,Javier Zanetti
809,Peter Schmeichel
810,Javier Zanetti
811,Jürgen Klinsmann
812,Pelé 
813,Franz Beckenbauer
814,Gary Lineker
815,Bobby Charlton
816,Cristiano Ronaldo
817,Roberto Carlos
818,George Weah
819,Gabriel Batistuta
820,Kaká 
821,Lionel Messi
822,Gianluigi Buffon
823,Bobby Charlton
824,Edgar Davids
825,Alan Shearer
826,George Weah
827,Lionel Messi
828,Michel Platini
829,Cristiano Ronaldo
830,Lionel Messi
831,Ronaldinho Gaúcho
832,Roberto Carlos
833,Ronaldinho Gaúcho
834,Gary Lineker
835,Luís Figo
836,Roberto Carlos
837,Roberto Carlos
838,Marco van
839,Diego Maradona
840,Marco van
841,Lionel Messi
842,Pelé 
843,Hristo Stoichkov
844,Gabriel Batistuta
845,Jürgen Klinsmann
846,Cristiano Ronaldo
847,Gary Lineker
848,Paolo Maldini
849,Alan Shearer
850,Roberto Baggio
851,Paolo Maldini
852,Luís Figo
853,Gary Lineker
854,Franz Beckenbauer
855,Kaká 
856,Ronaldinho Gaúcho
857,Karl-Heinz Rummenigge
858,Zinedine Zidane
859,Javier Zanetti
860,Edgar Davids
861,Edgar Davids
862,Ronaldinho Gaúcho
863,Marco van
864,Paolo Maldini
865,Gary Lineker
866,Javier Zanetti
867,Javier Zanetti
868,Diego Maradona
869,Marco van
870,Paolo Maldini
871,Alan Shearer
872,Dennis Bergkamp
873,Roberto Carlos
874,Ronaldo Nazario
875,Paolo Maldini
876,Diego Maradona
877,Franz Beckenbauer
878,Zinedine Zidane
879,Alan Shearer
880,Cristiano Ronaldo
881,Marco van
882,Ronaldo Nazario
883,Marco van
884,Luís Figo
885,Luís Figo
886,Dennis Bergkamp
887,Roberto Carlos
888,Gabriel Batistuta
889,Luís Figo
890,Marco van
891,Alan Shearer
892,Cristiano Ronaldo
893,Diego Maradona
894,Kaká 
895,Edgar Davids
896,Karl-Heinz Rummenigge
897,George Weah
898,Diego Maradona
899,Diego Maradona
900,Pelé 
901,Alan Shearer
902,Bobby Charlton
903,Paolo Maldini
904,Marco van
905,Dennis Bergkamp
906,Ronaldo Nazario
907,Paolo Maldini
908,Dennis Bergkamp
909,Kaká 
910,Dennis Bergkamp
911,Gary Lineker
912,Edgar Davids
913,Roberto Baggio
914,Ronaldinho Gaúcho
915,Zinedine Zidane
916,Hristo Stoichkov
917,Jürgen Klinsmann
918,Lionel Messi
919,Diego Maradona
920,Bobby Charlton
921,Roberto Baggio
922,Marco van
923,Dennis Bergkamp
924,Ronaldo Nazario
925,Gianluigi Buffon
926,Dennis Bergkamp
927,Roberto Baggio
928,Gabriel Batistuta
929,Roberto Baggio
930,Roberto Carlos
931,Lionel Messi
932,Zinedine Zidane
933,Lionel Messi
934,Zinedine Zidane
935,Marco van
936,Franz Beckenbauer
937,Franz Beckenbauer
938,Dennis Bergkamp
939,Cristiano Ronaldo
940,Hristo Stoichkov
941,Jürgen Klinsmann
942,Diego Maradona
943,Paolo Maldini
944,Roberto Baggio
945,Franz Beckenbauer
946,Lionel Messi
947,Pelé 
948,Javier Zanetti
949,Lionel Messi
950,Dennis Bergkamp
951,Gabriel Batistuta
952,Paolo Maldini
953,Gabriel Batistuta
954,Jürgen Klinsmann
955,Peter Schmeichel
956,Lionel Messi
957,Gary Lineker
958,Peter Schmeichel
959,Michel Platini
960,Marco van
961,Javier Zanetti
962,Marco van
963,Jürgen Klinsmann
964,Gabriel Batistuta
965,Lionel Messi
966,Paolo Maldini
967,Franz Beckenbauer
968,Paolo Maldini
969,Roberto Carlos
970,Gabriel Batistuta
971,Gabriel Batistuta
972,Jürgen Klinsmann
973,Ronaldinho Gaúcho
974,Cristiano Ronaldo
975,Hristo Stoichkov
976,Dennis Bergkamp
977,Luís Figo
978,Pelé 
979,Zinedine Zidane
980,Karl-Heinz Rummenigge
981,Edgar Davids
982,Peter Schmeichel
983,Pelé 
984,Pelé 
985,Edgar Davids
986,Gabriel Batistuta
987,Gary Lineker
988,Marco van
989,Kaká 
990,Hristo Stoichkov
991,Ronaldinho Gaúcho
992,Diego Maradona
993,George Weah
994,Karl-Heinz Rummenigge
995,Gary Lineker
996,Dennis Bergkamp
997,Zinedine Zidane
998,Cristiano Ronaldo
999,Jürgen Klinsmann
1000,Dennis Bergkamp
1001,Roberto Carlos
1002,Zinedine Zidane
1003,Gabriel Batistuta
1004,Pelé 
1005,Gianluigi Buffon
1006,Bobby Charlton
1007,Edgar Davids
1008,Cristiano Ronaldo
1009,Luís Figo
1010,Karl-Heinz Rummenigge
1011,George Weah
1012,Dennis Bergkamp
1013,Dennis Bergkamp
1014,Roberto Baggio
1015,Roberto Baggio
1016,Marco van
1017,Gabriel Batistuta
1018,Jürgen Klinsmann
1019,Hristo Stoichkov
1020,Diego Maradona
1021,Luís Figo
1022,Hristo Stoichkov
1023,Luís Figo
1024,Zinedine Zidane
1025,Pelé 
1026,Alan Shearer
1027,Jürgen Klinsmann
1028,Roberto Carlos
1029,Hristo Stoichkov
1030,Roberto Baggio
1031,Roberto Baggio
1032,Lionel Messi
1033,Kaká 
1034,Paolo Maldini
1035,Roberto Carlos
1036,George Weah
1037,Luís Figo
1038,Lionel Messi
1039,Karl-Heinz Rummenigge
1040,Gary Lineker
1041,Gabriel Batistuta
1042,Franz Beckenbauer
1043,Pelé 
1044,Luís Figo
1045,Ronaldo Nazario
1046,Pelé 
1047,Javier Zanetti
1048,Gianluigi Buffon
1049,Jürgen Klinsmann
1050,Ronaldo Nazario
1051,Franz Beckenbauer
1052,Karl-Heinz Rummenigge
1053,Peter Schmeichel
1054,Luís Figo
1055,Ronaldinho Gaúcho
1056,Franz Beckenbauer
1057,Zinedine Zidane
1058,Zinedine Zidane
1059,Paolo Maldini
1060,Marco van
1061,Jürgen Klinsmann
1062,Peter Schmeichel
1063,Peter Schmeichel
1064,Peter Schmeichel
1065,Javier Zanetti
1066,Roberto Baggio
1067,Peter Schmeichel
1068,Roberto Carlos
1069,Ronaldo Nazario
1070,Pelé 
1071,Lionel Messi
1072,Roberto Baggio
1073,Peter Schmeichel
1074,Marco van
1075,Peter Schmeichel
1076,Alan Shearer
1077,Gianluigi Buffon
1078,Lionel Messi
1079,Paolo Maldini
1080,Hristo Stoichkov
1081,Marco van
1082,Peter Schmeichel
1083,Gabriel Batistuta
1084,Ronaldo Nazario
1085,Diego Maradona
1086,Paolo Maldini
1087,Cristiano Ronaldo
1088,Roberto Carlos
1089,Zinedine Zidane
1090,Karl-Heinz Rummenigge
1091,Dennis Bergkamp
1092,Javier Zanetti
1093,Ronaldo Nazario
1094,Gabriel Batistuta
1095,Luís Figo
1096,Paolo Maldini
1097,Gianluigi Buffon
1098,Paolo Maldini
1099,Hristo Stoichkov
1100,Franz Beckenbauer
1101,Zinedine Zidane
1102,Franz Beckenbauer
1103,Hristo Stoichkov
1104,Marco van
1105,Jürgen Klinsmann
1106,Ronaldo Nazario
1107,Roberto Carlos
1108,Luís Figo
1109,Michel Platini
1110,Marco van
1111,Gianluigi Buffon
1112,Alan Shearer
1113,Luís Figo
1114,Franz Beckenbauer
1115,Luís Figo
1116,Diego Maradona
1117,Michel Platini
1118,George Weah
1119,Hristo Stoichkov
1120,Franz Beckenbauer
1121,Gianluigi Buffon
1122,Kaká 
1123,Karl-Heinz Rummenigge
1124,Diego Maradona
1125,Marco van
1126,Paolo Maldini
1127,Franz Beckenbauer
1128,Roberto Carlos
1129,Cristiano Ronaldo
1130,Gabriel Batistuta
1131,Lionel Messi
1132,Bobby Charlton
1133,Gianluigi Buffon
1134,Michel Platini
1135,Hristo Stoichkov
1136,Roberto Baggio
1137,Gary Lineker
1138,Cristiano Ronaldo
1139,Luís Figo
1140,Gabriel Batistuta
1141,Luís Figo
1142,Franz Beckenbauer
1143,Peter Schmeichel
1144,Bobby Charlton
1145,Michel Platini
1146,Lionel Messi
1147,Gianluigi Buffon
1148,Dennis Bergkamp
1149,Edgar Davids
1150,Michel Platini
1151,Franz Beckenbauer
1152,Edgar Davids
1153,Paolo Maldini
1154,Ronaldinho Gaúcho
1155,Ronaldinho Gaúcho
1156,Roberto Baggio
1157,Franz Beckenbauer
1158,Ronaldinho Gaúcho
1159,Peter Schmeichel
1160,Edgar Davids
1161,Ronaldo Nazario
1162,George Weah
1163,Michel Platini
1164,Roberto Baggio
1165,Dennis Bergkamp
1166,Cristiano Ronaldo
1167,George Weah
1168,Gary Lineker
1169,Hristo Stoichkov
1170,Zinedine Zidane
1171,Gabriel Batistuta
1172,Peter Schmeichel
1173,Hristo Stoichkov
1174,Jürgen Klinsmann
1175,Luís Figo
1176,Gabriel Batistuta
1177,Paolo Maldini
1178,Michel Platini
1179,Kaká 
1180,Luís Figo
1181,Hristo Stoichkov
1182,Javier Zanetti
1183,Franz Beckenbauer
1184,Ronaldo Nazario
1185,Cristiano Ronaldo
1186,Peter Schmeichel
1187,Gianluigi Buffon
1188,Diego Maradona
1189,Ronaldinho Gaúcho
1190,Cristiano Ronaldo
1191,Gianluigi Buffon
1192,Lionel Messi
1193,Cristiano Ronaldo
1194,Javier Zanetti
1195,Lionel Messi
1196,Dennis Bergkamp
1197,Michel Platini
1198,Cristiano Ronaldo
1199,Jürgen Klinsmann
1200,Franz Beckenbauer
1201,Lionel Messi
1202,Hristo Stoichkov
1203,Dennis Bergkamp
1204,Dennis Bergkamp
1205,Karl-Heinz Rummenigge
1206,Gianluigi Buffon
1207,Bobby Charlton
1208,Javier Zanetti
1209,Gary Lineker
1210,Zinedine Zidane
1211,Edgar Davids
1212,Franz Beckenbauer
1213,Michel Platini
1214,Diego Maradona
1215,Roberto Carlos
1216,Michel Platini
1217,Dennis Bergkamp
1218,Marco van
